ID,Region,GenderNow,Age,Marital,Degree,Employed,Income,Polviews,Pres16,DeathPenalty,Courts,Attend,Postlife,Happy,Satfin,Energy
46,Northeast,Woman,46,Widowed,High school,Yes,"[25000, 49999]",Slghtly conservative,Clinton,Oppose,Not harsh enough,Never,No,Not too happy,More or less,About right
47,Northeast,Man,40,Married,Graduate,Yes,"[75000, 129999]",Slightly liberal,NA,Oppose,About right,Never,No,Pretty happy,Not at all,About right
48,Northeast,Woman,53,Married,Graduate,No,Not applicable,Slightly liberal,Clinton,Favor,About right,Weekly,Yes,Pretty happy,Satisfied,About right
49,Northeast,Man,75,Divorced,Bachelor,No,Not applicable,Conservative,Trump,Favor,Not harsh enough,Weekly,Yes,Pretty happy,Satisfied,Too little
50,Northeast,Not applicable,67,Divorced,Bachelor,No,Not applicable,Moderate,Clinton,Oppose,Not harsh enough,Occasionally,Yes,Pretty happy,Satisfied,Too little
51,Northeast,Man,22,Never married,High school,Yes,NA,NA,NA,Oppose,Too harsh,Occasionally,Yes,Pretty happy,More or less,Too little
52,Northeast,Not applicable,42,Separated,High school,Yes,"[25000, 49999]",Moderate,Clinton,NA,About right,Occasionally,Yes,Not too happy,More or less,Too little
53,Northeast,Not applicable,59,Divorced,Graduate,Yes,"[75000, 129999]",Moderate,NA,Favor,Not harsh enough,Occasionally,Don't know,Pretty happy,Not at all,About right
54,Northeast,Woman,33,Married,Graduate,No,"[50000, 74999]",Moderate,NA,NA,Don't know,Occasionally,Yes,Very happy,More or less,Too little
55,Northeast,Man,46,Married,Bachelor,Yes,$130000 +,Slightly liberal,Trump,Oppose,Don't know,Occasionally,No,Pretty happy,Satisfied,About right
56,Northeast,Man,55,Divorced,Bachelor,Yes,$130000 +,Moderate,Trump,Favor,Not harsh enough,Occasionally,Yes,Pretty happy,Satisfied,About right
57,Northeast,Woman,43,Married,Bachelor,No,Not applicable,Moderate,Clinton,Oppose,Don't know,Monthly,Yes,Pretty happy,Not at all,Too little
58,Northeast,Not applicable,45,Never married,High school,No,"[0, 24999]",NA,NA,Favor,Don't know,Never,Yes,Not too happy,Not at all,Don't know
59,Northeast,Not applicable,23,Never married,Less than high school,Yes,"[50000, 74999]",Conservative,NA,Oppose,Too harsh,Occasionally,Yes,Pretty happy,More or less,About right
60,Northeast,Woman,28,Separated,High school,Yes,"[0, 24999]",Moderate,NA,Oppose,Too harsh,Never,Yes,Not too happy,Not at all,Too little
61,Northeast,Not applicable,27,Married,High school,No,"[0, 24999]",Liberal,NA,Oppose,Too harsh,Occasionally,Yes,Pretty happy,Not at all,About right
62,Northeast,Woman,42,Married,Less than high school,Yes,"[0, 24999]",Extremely liberal,Clinton,Oppose,Not harsh enough,Occasionally,Yes,Not too happy,Not at all,Too little
63,Northeast,Not applicable,41,Never married,Bachelor,Yes,"[50000, 74999]",Moderate,Clinton,Oppose,About right,Weekly,Yes,Pretty happy,More or less,Too little
64,Northeast,Not applicable,64,Widowed,High school,No,Not applicable,Moderate,Clinton,Favor,About right,Weekly,Yes,Pretty happy,Not at all,Too little
65,Northeast,Man,53,Never married,Less than high school,No,Not applicable,Moderate,NA,Oppose,About right,Never,Yes,Pretty happy,More or less,Too little
66,Northeast,Not applicable,79,Divorced,Graduate,No,Not applicable,Liberal,Clinton,Oppose,Too harsh,Occasionally,Yes,Not too happy,More or less,Too little
67,Northeast,Not applicable,34,Married,High school,Yes,"[50000, 74999]",Conservative,NA,Favor,Not harsh enough,Occasionally,No,Pretty happy,More or less,About right
68,Northeast,Woman,59,Separated,High school,No,Not applicable,Moderate,Clinton,Oppose,Too harsh,Weekly,Yes,Very happy,Not at all,Too little
69,Northeast,Not applicable,32,Never married,Graduate,Yes,$130000 +,Slightly liberal,Clinton,Oppose,Too harsh,Weekly,Yes,Pretty happy,More or less,Too little
70,Northeast,Woman,33,Married,Bachelor,No,Not applicable,Extremely liberal,NA,Oppose,Too harsh,Never,No,Very happy,Not at all,Too little
71,Northeast,Man,35,Never married,High school,No,Not applicable,Moderate,Clinton,Favor,About right,Occasionally,No,Pretty happy,Satisfied,Too little
72,Northeast,Man,37,Married,Junior college,Yes,"[50000, 74999]",Liberal,NA,NA,Not harsh enough,Occasionally,Yes,Pretty happy,More or less,Too little
73,Northeast,Not applicable,28,Married,Bachelor,No,Not applicable,Slightly liberal,NA,Favor,Too harsh,Never,No,Very happy,More or less,Too little
74,Northeast,Not applicable,42,Married,Graduate,Yes,"[25000, 49999]",Liberal,Clinton,Oppose,About right,Monthly,No,Pretty happy,Satisfied,Too little
75,Northeast,Man,21,Never married,High school,Yes,"[0, 24999]",Liberal,NA,Oppose,Too harsh,Never,Yes,Pretty happy,Not at all,Too little
76,Northeast,Not applicable,33,Never married,Junior college,Yes,"[25000, 49999]",Conservative,Clinton,Favor,Don't know,Never,Don't know,Very happy,More or less,About right
77,Northeast,Woman,37,Married,Bachelor,Yes,$130000 +,Moderate,NA,Favor,About right,Occasionally,Don't know,Very happy,Satisfied,Too little
78,Northeast,Not applicable,89,Widowed,Less than high school,No,Not applicable,Moderate,NA,NA,Not harsh enough,Occasionally,Yes,Pretty happy,More or less,Too little
79,Northeast,Woman,47,Married,Junior college,No,Not applicable,Moderate,NA,Favor,Not harsh enough,NA,NA,Pretty happy,More or less,Too little
80,Northeast,Woman,63,Married,Less than high school,NA,NA,NA,NA,NA,NA,NA,Don't know,Very happy,More or less,About right
81,Northeast,Not applicable,71,Married,Bachelor,No,Not applicable,Liberal,Clinton,Oppose,Don't know,Never,Don't know,Pretty happy,More or less,Too little
82,Northeast,Not applicable,42,Married,High school,Yes,NA,NA,Clinton,Oppose,Don't know,NA,NA,Pretty happy,Not at all,Too little
83,Northeast,Woman,37,Divorced,High school,Yes,"[0, 24999]",Moderate,NA,Oppose,Not harsh enough,Occasionally,Yes,Very happy,More or less,Too little
84,Northeast,Not applicable,40,Married,High school,Yes,"[25000, 49999]",Extrmly conservative,Clinton,Oppose,Not harsh enough,Monthly,No,Very happy,More or less,Too little
85,Northeast,Man,70,Separated,High school,Yes,"[0, 24999]",Conservative,Clinton,Favor,Not harsh enough,Never,No,Pretty happy,More or less,Too little
86,Northeast,Man,28,Never married,Bachelor,Yes,"[25000, 49999]",Slightly liberal,Clinton,Oppose,Too harsh,Never,Don't know,Pretty happy,More or less,Too little
87,Northeast,Not applicable,53,Never married,High school,Yes,"[0, 24999]",Liberal,Clinton,Oppose,About right,Weekly,Yes,Pretty happy,Not at all,Too little
88,Northeast,Man,46,Married,High school,No,$130000 +,Extremely liberal,Clinton,Oppose,Not harsh enough,Never,No,Pretty happy,More or less,About right
89,Northeast,Man,55,Married,Graduate,Yes,"[50000, 74999]",Liberal,Clinton,Favor,About right,Occasionally,No,Pretty happy,Satisfied,Too little
90,Northeast,Man,28,Never married,Graduate,Yes,"[0, 24999]",Moderate,Other,Favor,Too harsh,Weekly,Yes,Pretty happy,Not at all,Too little
91,Northeast,Man,42,Never married,Graduate,No,"[75000, 129999]",Moderate,Clinton,Favor,About right,Never,Yes,Pretty happy,More or less,Too little
92,Northeast,Not applicable,77,Married,Graduate,Yes,"[0, 24999]",Extremely liberal,Clinton,Oppose,Too harsh,Weekly,Yes,Not too happy,More or less,Too little
93,Northeast,Man,29,Never married,Graduate,Yes,NA,Slightly liberal,NA,Oppose,About right,Occasionally,Don't know,Very happy,Satisfied,About right
94,Northeast,Woman,62,Widowed,Less than high school,No,Not applicable,Liberal,NA,Favor,Not harsh enough,Weekly,Yes,Not too happy,NA,Don't know
95,Northeast,Not applicable,30,Never married,Bachelor,Yes,"[75000, 129999]",Liberal,Clinton,Oppose,Too harsh,Occasionally,Yes,Pretty happy,More or less,Too little
96,Northeast,Man,22,Never married,High school,Yes,NA,Liberal,NA,Favor,Too harsh,Occasionally,Yes,Pretty happy,Satisfied,About right
97,Northeast,Woman,69,Married,High school,No,Not applicable,Liberal,Clinton,Oppose,Too harsh,Occasionally,Don't know,Pretty happy,Satisfied,Too much
98,Northeast,Not applicable,45,Separated,Bachelor,No,"[50000, 74999]",Slghtly conservative,Clinton,Favor,Not harsh enough,Occasionally,Yes,Very happy,Not at all,About right
99,Northeast,NA,32,Married,High school,No,Not applicable,Moderate,Clinton,Oppose,Don't know,Never,Yes,Pretty happy,More or less,About right
100,Northeast,Woman,60,Widowed,Less than high school,No,NA,Moderate,NA,Favor,Not harsh enough,Occasionally,Don't know,Very happy,More or less,About right
101,Northeast,Not applicable,48,Divorced,Less than high school,Yes,"[50000, 74999]",Conservative,Trump,Oppose,Not harsh enough,Never,Don't know,Not too happy,Not at all,Too much
102,Northeast,Not applicable,81,Divorced,High school,No,Not applicable,Liberal,NA,Favor,Don't know,Occasionally,No,Not too happy,Not at all,Don't know
103,Northeast,Man,50,Married,Graduate,Yes,"[75000, 129999]",Liberal,Clinton,Oppose,Too harsh,Never,No,Pretty happy,Satisfied,Too little
104,Northeast,Woman,78,Married,High school,No,Not applicable,Slghtly conservative,Trump,Favor,Not harsh enough,Never,Yes,Very happy,Satisfied,Too little
105,Northeast,Man,56,Never married,Graduate,No,"[50000, 74999]",Extremely liberal,Clinton,Oppose,Too harsh,Occasionally,No,Pretty happy,Satisfied,Too little
106,Northeast,Not applicable,60,Never married,High school,Yes,"[75000, 129999]",Slghtly conservative,Trump,Oppose,Too harsh,Weekly,Yes,Pretty happy,More or less,About right
107,Northeast,Man,23,Never married,High school,Yes,"[25000, 49999]",Moderate,Trump,Favor,Not harsh enough,Never,Yes,Pretty happy,Satisfied,Too little
108,Northeast,Not applicable,67,Never married,High school,No,NA,NA,NA,NA,Not harsh enough,Never,Yes,Pretty happy,Not at all,Don't know
109,Northeast,Woman,54,Married,Bachelor,Yes,Not applicable,NA,NA,NA,About right,Occasionally,Yes,Very happy,More or less,About right
110,Northeast,Woman,62,Married,Junior college,No,Not applicable,Slightly liberal,Clinton,NA,NA,Weekly,Yes,Not too happy,Not at all,About right
111,Northeast,Woman,55,Divorced,Junior college,Yes,"[75000, 129999]",Moderate,Clinton,Favor,About right,Occasionally,Don't know,Very happy,Satisfied,About right
112,Northeast,Woman,56,Married,High school,Yes,"[0, 24999]",Conservative,NA,Favor,Not harsh enough,Occasionally,Yes,Very happy,More or less,Too little
113,Northeast,Man,58,Never married,Junior college,No,Not applicable,Extremely liberal,NA,Oppose,Too harsh,Never,No,Pretty happy,More or less,Too little
114,Northeast,Woman,74,Divorced,High school,No,Not applicable,NA,Clinton,Favor,Not harsh enough,Never,Don't know,Not too happy,Not at all,Don't know
115,Northeast,Man,70,Married,Bachelor,Yes,$130000 +,Slightly liberal,Clinton,Oppose,Too harsh,Occasionally,No,Pretty happy,Satisfied,About right
116,Northeast,Not applicable,35,Married,Bachelor,Yes,Not applicable,Slghtly conservative,Trump,Favor,Not harsh enough,Occasionally,Yes,Very happy,Satisfied,Too little
117,Northeast,Man,65,Married,Less than high school,No,Not applicable,Moderate,Clinton,Favor,About right,Never,Yes,Pretty happy,More or less,About right
118,Northeast,Woman,42,Married,Junior college,No,Not applicable,Moderate,Clinton,Favor,Don't know,Never,Yes,Pretty happy,More or less,Too little
119,Northeast,Woman,48,Married,High school,Yes,"[0, 24999]",Slghtly conservative,NA,Favor,Not harsh enough,Monthly,Yes,Very happy,Not at all,Too much
120,Northeast,Not applicable,32,Never married,High school,Yes,"[25000, 49999]",Moderate,Trump,Favor,Not harsh enough,Never,No,Pretty happy,More or less,About right
121,Northeast,Woman,56,Married,High school,No,Not applicable,Conservative,NA,Favor,Not harsh enough,Never,Yes,Pretty happy,More or less,Too much
122,Northeast,Not applicable,61,Married,High school,Yes,"[25000, 49999]",Extrmly conservative,NA,Favor,Not harsh enough,Weekly,Yes,Pretty happy,More or less,About right
123,West,Not applicable,76,Widowed,Bachelor,Yes,"[0, 24999]",Extremely liberal,Clinton,Oppose,About right,Occasionally,Don't know,Pretty happy,More or less,Too little
124,West,Woman,59,Married,Bachelor,Yes,"[25000, 49999]",Slghtly conservative,Clinton,Favor,Don't know,Occasionally,Yes,Pretty happy,More or less,About right
125,West,Not applicable,69,Never married,Bachelor,Yes,"[25000, 49999]",Liberal,Clinton,Favor,Not harsh enough,Never,Yes,Pretty happy,More or less,Too little
126,West,Man,48,Never married,Graduate,Yes,"[75000, 129999]",Slightly liberal,Clinton,Favor,Not harsh enough,Never,No,Pretty happy,More or less,Too little
127,West,Not applicable,68,Married,Graduate,Yes,"[75000, 129999]",Conservative,Trump,Favor,Not harsh enough,Occasionally,Yes,Pretty happy,More or less,Too little
128,West,Woman,39,Never married,Bachelor,Yes,NA,Slightly liberal,NA,Favor,Not harsh enough,Never,Yes,Very happy,More or less,Too little
129,West,Not applicable,38,Married,Graduate,Yes,"[25000, 49999]",Moderate,Clinton,Favor,Not harsh enough,Weekly,No,Pretty happy,More or less,Too little
130,West,Woman,39,Never married,Graduate,Yes,$130000 +,Liberal,Clinton,Oppose,Don't know,Never,No,Very happy,More or less,Too little
131,West,Woman,52,Married,High school,No,Not applicable,Moderate,NA,Oppose,Not harsh enough,Weekly,Yes,Very happy,More or less,Too little
132,West,Not applicable,41,Married,Graduate,No,Not applicable,Extremely liberal,NA,Oppose,Not harsh enough,Never,No,Very happy,Satisfied,About right
133,West,Man,60,Married,Bachelor,Yes,$130000 +,Liberal,Clinton,Oppose,Don't know,Never,No,Pretty happy,More or less,Too little
134,West,Man,69,Married,High school,Yes,$130000 +,Liberal,Clinton,Oppose,Not harsh enough,Weekly,Yes,Pretty happy,Not at all,Too little
135,West,Man,60,Married,High school,Yes,"[75000, 129999]",Liberal,NA,Oppose,Not harsh enough,Never,No,Pretty happy,More or less,Too little
136,West,Woman,22,Never married,High school,Yes,Not applicable,Slightly liberal,NA,Oppose,Too harsh,Occasionally,Yes,Pretty happy,More or less,About right
137,West,Not applicable,33,Never married,High school,No,"[0, 24999]",Moderate,NA,Favor,Not harsh enough,Occasionally,No,Pretty happy,More or less,About right
138,West,Woman,35,Married,Bachelor,Yes,"[25000, 49999]",Slghtly conservative,NA,Favor,Not harsh enough,Never,Yes,Not too happy,Not at all,Don't know
139,West,Woman,38,Married,Less than high school,Yes,"[0, 24999]",Moderate,NA,Oppose,Not harsh enough,Monthly,Don't know,Very happy,More or less,Too little
140,West,Not applicable,25,Never married,High school,Yes,"[0, 24999]",Moderate,NA,Favor,Too harsh,Never,Yes,Pretty happy,Satisfied,About right
141,West,Man,55,Divorced,Junior college,Yes,"[25000, 49999]",Conservative,Trump,Favor,Not harsh enough,Occasionally,Don't know,Not too happy,Not at all,Too much
142,West,Man,34,Married,High school,Yes,"[0, 24999]",Liberal,Clinton,Oppose,Too harsh,Weekly,Yes,Pretty happy,Not at all,Too little
143,West,Not applicable,49,Divorced,Less than high school,No,Not applicable,NA,NA,Favor,Not harsh enough,NA,No,Not too happy,Not at all,Too little
144,West,Man,18,Never married,High school,No,Not applicable,Moderate,NA,Oppose,Not harsh enough,Weekly,Yes,Pretty happy,Not at all,Too little
145,West,Man,56,Divorced,High school,Yes,"[50000, 74999]",Slightly liberal,Clinton,Favor,Not harsh enough,Monthly,Yes,Pretty happy,More or less,Too little
146,West,Not applicable,19,Never married,High school,Yes,Not applicable,Conservative,NA,Favor,About right,Occasionally,No,Pretty happy,Satisfied,Too little
147,West,Not applicable,34,Never married,High school,No,"[50000, 74999]",Moderate,NA,Oppose,Too harsh,Monthly,Yes,Not too happy,Not at all,Too little
148,West,Woman,26,Never married,Bachelor,Yes,"[0, 24999]",NA,Clinton,Oppose,Don't know,Occasionally,Yes,Pretty happy,More or less,About right
149,West,Not applicable,28,Never married,High school,No,Not applicable,Moderate,NA,Favor,About right,Never,Don't know,Pretty happy,More or less,About right
150,West,Woman,59,Separated,Graduate,Yes,"[75000, 129999]",Liberal,Clinton,Oppose,Too harsh,Never,Yes,Very happy,Satisfied,About right
151,West,Woman,39,Never married,Graduate,Yes,"[50000, 74999]",Moderate,NA,Oppose,About right,Monthly,Yes,Pretty happy,More or less,About right
152,West,Woman,77,Separated,High school,No,Not applicable,Conservative,Clinton,Oppose,About right,Weekly,Don't know,Pretty happy,Satisfied,About right
153,West,Woman,35,Never married,High school,No,Not applicable,Slghtly conservative,Clinton,Favor,Not harsh enough,Never,Yes,Not too happy,Satisfied,Too little
154,West,Woman,46,Separated,Bachelor,Yes,"[0, 24999]",Moderate,NA,NA,About right,Never,Don't know,Pretty happy,Satisfied,Too little
155,West,Not applicable,57,Never married,Less than high school,Yes,"[25000, 49999]",Moderate,NA,Favor,About right,Occasionally,Don't know,Very happy,More or less,About right
156,West,Woman,35,Married,Less than high school,Yes,"[0, 24999]",Moderate,NA,Oppose,Not harsh enough,Never,Yes,Pretty happy,More or less,Too little
157,West,Not applicable,58,Separated,High school,Yes,"[25000, 49999]",Slghtly conservative,Clinton,Oppose,Too harsh,Weekly,No,Not too happy,Not at all,About right
158,West,Not applicable,20,Never married,High school,Yes,"[0, 24999]",Moderate,NA,Oppose,Not harsh enough,Weekly,Yes,Pretty happy,Not at all,About right
159,West,Woman,48,Married,Less than high school,Yes,"[0, 24999]",Moderate,NA,Oppose,Don't know,Weekly,Yes,Very happy,More or less,About right
160,West,Not applicable,51,Separated,Less than high school,Yes,"[0, 24999]",Moderate,NA,Favor,Not harsh enough,Weekly,Yes,Pretty happy,More or less,About right
161,West,Woman,18,Never married,Less than high school,No,Not applicable,Liberal,NA,Oppose,Not harsh enough,Never,Yes,Not too happy,More or less,About right
162,West,Woman,18,Never married,High school,No,Not applicable,Liberal,NA,Favor,Not harsh enough,Never,Yes,Pretty happy,More or less,About right
163,West,Not applicable,41,Married,High school,Yes,"[25000, 49999]",Moderate,NA,Favor,Not harsh enough,Never,Yes,Pretty happy,More or less,Don't know
164,West,Woman,51,Married,High school,No,Not applicable,Moderate,NA,Oppose,Not harsh enough,Monthly,No,Not too happy,More or less,Too little
165,West,Not applicable,41,Married,Less than high school,No,Not applicable,Moderate,NA,Favor,Not harsh enough,Occasionally,Yes,Pretty happy,Not at all,Too little
166,West,Woman,71,Never married,High school,No,Not applicable,Liberal,Clinton,Oppose,Too harsh,Never,Don't know,Pretty happy,More or less,About right
167,West,Not applicable,43,Never married,Less than high school,Yes,Not applicable,Moderate,NA,Favor,About right,Never,Yes,Very happy,More or less,About right
168,West,Not applicable,53,Never married,Bachelor,Yes,NA,Liberal,NA,Oppose,Not harsh enough,Weekly,Yes,Pretty happy,Not at all,Too much
169,West,Man,46,Never married,Junior college,Yes,"[50000, 74999]",Slightly liberal,NA,Favor,Not harsh enough,Occasionally,Don't know,Not too happy,Not at all,Too little
170,West,Not applicable,36,Married,High school,Yes,"[50000, 74999]",Slightly liberal,NA,Favor,Not harsh enough,Occasionally,No,Pretty happy,Not at all,About right
171,West,Man,19,Never married,High school,Yes,"[0, 24999]",Slghtly conservative,NA,Favor,Don't know,Never,Yes,Pretty happy,Not at all,About right
172,West,Man,65,Married,High school,Yes,"[25000, 49999]",Liberal,NA,Oppose,Too harsh,Weekly,Don't know,Very happy,Not at all,Too little
173,West,Woman,60,Divorced,High school,Yes,"[25000, 49999]",Moderate,Trump,NA,Not harsh enough,Occasionally,Yes,Not too happy,Not at all,About right
174,West,Woman,63,Never married,Bachelor,No,Not applicable,Conservative,Clinton,Favor,Not harsh enough,Monthly,Yes,Pretty happy,More or less,Too little
175,West,Man,36,Married,Graduate,Yes,$130000 +,Liberal,Clinton,NA,Don't know,Never,No,Very happy,Satisfied,Too little
176,West,Woman,40,Married,Bachelor,No,Not applicable,Conservative,NA,NA,Don't know,Never,Yes,Pretty happy,More or less,Too much
177,West,Not applicable,42,Married,Graduate,Yes,$130000 +,Extremely liberal,Clinton,Oppose,About right,Occasionally,No,Very happy,Satisfied,Too little
178,West,Man,61,Separated,High school,Yes,$130000 +,NA,Trump,Oppose,About right,Weekly,Yes,Pretty happy,More or less,About right
179,West,Man,27,Never married,Bachelor,Yes,"[75000, 129999]",Slightly liberal,Clinton,Favor,Don't know,Never,Yes,Very happy,Satisfied,Too little
180,West,Not applicable,52,Never married,High school,No,Not applicable,Moderate,NA,Favor,Too harsh,Monthly,Yes,Very happy,Satisfied,About right
181,West,Not applicable,36,Never married,High school,Yes,Not applicable,NA,NA,NA,Don't know,Weekly,Yes,NA,NA,About right
182,West,Woman,74,Divorced,High school,No,Not applicable,Liberal,NA,Favor,Not harsh enough,Never,Yes,Pretty happy,Not at all,Too little
183,West,Not applicable,36,Never married,Graduate,Yes,"[50000, 74999]",Liberal,Clinton,Oppose,Too harsh,Never,No,Pretty happy,Not at all,Too little
184,West,Man,34,Never married,Graduate,Yes,"[75000, 129999]",Moderate,Clinton,NA,Not harsh enough,Monthly,Yes,Pretty happy,Satisfied,About right
