ID,trip.frequency,payment.options,payment.options_text,prepaid.transit_value,prepaid.transit_other,discount.eligible,discount.other,discount.senior,discount.veteran,discount.student,discount.other_recieve,Q3.4_4_TEXT,discount.ineligible,discount.idk,financial.checking,financial.savings,financial.prepaid,financial.credit,financial.checkcashing,financial.loan,financial.peer,financial.wire,financial.mobile,financial.other,financial.other_text,bank.interest,bank.hours,bank.location,bank.fees_high,bank.fees_unpredictable,bank.useless,bank.distrust,bank.minbalance,bank.privacy,bank.identification,bank.other,bank.other_text,prepaid.card_from,prepaid.card_other,preference.credit,preference.phone,preference.prepaid_debit,preference.debit,preference.prepaid_gov,challenge.phone,challenge.phone_other,challenge.prepaid_gov,challenge.prepaid_gov_other,gender,income,benefits,benefits.other,employment,employment.other,section1,section3,section4,section5,section6,complete,payment.other,payment.cash,payment.prepaid,payment.mobile,payment.card,phone.wifi,phone.money,phone.identity,phone.fees,phone.balance,prepaid.places,prepaid.money,prepaid.sharing,prepaid.identity,prepaid.fees,prepaid.balance,calfresh,wic,medical,healthyfam,calworks,housing,female,male,other,inc.less25,inc.25,inc.50plus,financial.count,unbanked,checking.only,savings.only,both.accounts,some.banking,prefer.none
14,Five days a week,"Prepaid card from transit agency,Mobile phone (QR Code, digital wallet, mobile ticket, etc.)",NA,Through an online transit agency account that is connected to my card,NA,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a website or other that is not a bank,NA,Would not use,Would like to use,Would not use,Would not use,Would not use,"Not having wifi access,Identity concerns",NA,"Ways to add money,Monthly fees",NA,Prefer not to say,"Less than $25,000",NA,NA,University faculty or staff,NA,1,1,1,1,0,4,FALSE,No,Prepaid card from transit agency,Mobile phone,No,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,No,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
15,Three days a week,Other (please write in),Uc davis ID ,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Yes,No,No,Yes,No,Yes,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,NA,From somewhere else (please write in),N/A,Already use,Already use,Would not use,Already use,Already use,Not having wifi access,NA,Identity concerns,NA,Female,"$25,000 to $49,999",NA,NA,University faculty or staff,NA,1,1,1,1,0,4,FALSE,No,No,No,No,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,No,NA,No,Yes,No,1,Yes,No,No,No,NA,0
16,Five days a week,Other (please write in),Student ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would like to use,Would like to use,Would like to use,Would like to use,NA,NA,Places to get it,NA,Male,"$50,000 or more",CalWORKS,NA,Services or repair,Food service ,1,1,1,0,1,4,FALSE,No,No,No,No,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,No,Yes,NA,No,No,Yes,1,No,No,No,Yes,Yes,0
17,Six or seven days a week,Cash,NA,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From somewhere else (please write in),n/a,Would not use,Would not use,Would not use,Would not use,Would not use,Other (please write in),Apps crowd phone,Other (please write in),NA,Female,"Less than $25,000",CalFresh or SNAP,NA,Unemployed,NA,1,1,1,1,1,5,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yes,No,NA,Yes,No,No,1,No,Yes,No,No,Yes,1
18,Two days a week,Prepaid card from transit agency,NA,Credit card at card kiosks or vending machines in transit stations/at stops,NA,"Yes, another discount (please write in)",Disabled ,NA,NA,NA,Definitely yes,NA,NA,NA,No,No,Yes,No,No,No,Yes,No,No,NA,NA,Not very interested,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,NA,NA,"From a family member, friend, or other personal acquaintance",NA,Would like to use,Would not use,Would like to use,Would not use,Would like to use,NA,NA,"Sharing the card with family members,Knowing the balance",NA,Female,"Less than $25,000","CalFresh or SNAP,Medi-Cal,Housing Assistance Program",NA,Unemployed,NA,1,1,1,0,0,3,FALSE,No,Prepaid card from transit agency,No,No,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,Yes,No,NA,Yes,No,No,1,Yes,No,No,No,NA,0
19,Two days a week,Other (please write in),Student ID ,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would like to use,Would not use,Would like to use,Would not use,Knowing the balance,NA,"Places to get it,Ways to add money",NA,Female,"$50,000 or more",NA,NA,Services or repair,Transit driver ,1,1,1,1,0,4,FALSE,No,No,No,No,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Yes,No,NA,No,No,Yes,1,No,No,No,Yes,Yes,0
20,Six or seven days a week,"Cash,Other (please write in)",Unitrans Senior Pass,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would not use,Would not use,Would not use,Already use,"Identity concerns,Other (please write in)",Never have - because I don't understand it; where it says scan here I never scanned in my life; month ago lost my phone... had all my numbers in it and then i tried to find out because that is the only thing I prepay for $25,"Places to get it,Identity concerns,Knowing the balance",NA,Male,"$50,000 or more",Other (Please write in),Medicare,Unemployed,Retired,1,1,1,1,0,4,FALSE,Yes,No,No,No,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,No,Yes,NA,No,No,Yes,1,No,No,No,Yes,Yes,0
21,Six or seven days a week,"Cash,Other (please write in)",Student ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would like to use,Would not use,Already use,Would not use,"Ways to add money,Knowing the balance",NA,Places to get it,NA,Female,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,University faculty or staff,Student employee ,1,1,1,1,1,5,FALSE,Yes,No,No,No,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
22,Four days a week,"Prepaid card from transit agency,Other (please write in)",Student ID ,Through an online transit agency account that is connected to my card,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,NA,NA,Yes,Yes,No,No,No,No,Yes,No,Yes,NA,NA,From a bank branch or website,NA,Would like to use,Already use,Would like to use,Already use,Would not use,NA,NA,"Places to get it,Ways to add money,Monthly fees,Other (please write in)",Monthly fees depends on how much ,Female,"Less than $25,000",CalFresh or SNAP,NA,Unemployed,NA,1,1,1,0,0,3,FALSE,No,Prepaid card from transit agency,No,No,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
23,Less than once a week,Other (please write in),Student ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,2,FALSE,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
24,Five days a week,Other (please write in),Student ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,No,No,NA,NA,No,Yes,No,No,Yes,No,No,No,No,No,NA,NA,NA,Would not use,Would not use,Would like to use,Would not use,Would like to use,"Not having wifi access,Ways to add money,Identity concerns",NA,"Places to get it,Ways to add money,Knowing the balance",NA,Female,"$25,000 to $49,999",NA,NA,University faculty or staff,Lab assistant,1,1,1,1,0,4,FALSE,No,No,No,No,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Yes,No,NA,No,Yes,No,1,No,No,No,Yes,Yes,0
25,Three days a week,Other (please write in),Student ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,No,No,No,Yes,No,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would like to use,Would not use,Would like to use,Would not use,"Not having wifi access,Ways to add money",NA,"Places to get it,Ways to add money,Identity concerns,Monthly fees,Knowing the balance",NA,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,Sales or marketing,NA,1,1,1,1,1,5,FALSE,No,No,No,No,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,No,Yes,NA,Yes,No,No,1,No,Yes,No,No,Yes,0
26,Less than once a week,"Cash,Other (please write in)",Student ID ,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,No,NA,NA,NA,No,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,Would like to use,Would like to use,Would not use,Already use,Would not use,Not having wifi access,NA,NA,NA,Female,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,Education (K-12),NA,1,1,1,0,1,4,FALSE,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
27,Five days a week,Prepaid card from transit agency,NA,Cash at card kiosks or vending machines in transit stations/at stops,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a bank branch or website,NA,Would not use,Would not use,Would not use,Would not use,Would not use,NA,NA,NA,NA,Female,"$25,000 to $49,999",NA,NA,Unemployed,NA,1,1,1,0,0,3,FALSE,No,Prepaid card from transit agency,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,NA,No,Yes,No,1,No,No,No,Yes,Yes,1
28,Five days a week,Contact-less/tap payment with a credit card or prepaid debit card,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,No,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From somewhere else (please write in),Amazon gift card,Already use,Already use,Already use,Already use,Would not use,Not having wifi access,NA,NA,NA,Male,"Less than $25,000",CalFresh or SNAP,NA,University faculty or staff,NA,1,1,1,0,1,4,FALSE,No,No,No,Contact-less payment,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
29,Less than once a week,"Mobile phone (QR Code, digital wallet, mobile ticket, etc.)",NA,NA,NA,"Yes, another discount (please write in)",state worker,NA,NA,NA,Might or might not,NA,NA,NA,No,No,No,Yes,No,No,Yes,No,No,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,NA,NA,NA,Already use,Would like to use,Would like to use,Already use,Would like to use,Identity concerns,NA,NA,NA,Female,"$50,000 or more",NA,NA,Management or administrative,NA,1,1,1,0,0,3,FALSE,No,No,Mobile phone,No,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,NA,No,No,Yes,1,Yes,No,No,No,NA,0
30,Five days a week,Other (please write in),Davis School card ,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Already use,Would not use,Already use,Would not use,Not having wifi access,NA,Identity concerns,NA,Female,"Less than $25,000",CalFresh or SNAP,NA,Sales or marketing,NA,1,1,1,1,1,5,FALSE,No,No,No,No,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
31,Three days a week,Other (please write in),Student ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would like to use,Would not use,Would like to use,Would like to use,NA,NA,"Places to get it,Ways to add money,Sharing the card with family members",NA,Female,"Less than $25,000",NA,NA,Sales or marketing,NA,1,1,1,0,0,3,FALSE,No,No,No,No,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
32,Less than once a week,Other (please write in),Disability ,NA,NA,"Yes, another discount (please write in)",NA,NA,NA,NA,Definitely yes,NA,NA,NA,Yes,Yes,Yes,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From a family member, friend, or other personal acquaintance",NA,Would not use,Would not use,Would not use,Would not use,Would not use,Other (please write in),NA,Places to get it,NA,Female,NA,CalFresh or SNAP,NA,NA,Disabled ,1,1,1,1,0,4,FALSE,No,No,No,No,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Yes,No,NA,NA,NA,NA,1,No,No,No,Yes,Yes,1
33,NA,Cash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,No,Yes,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a website or other that is not a bank,NA,Would not use,Would like to use,Would like to use,Would like to use,Would like to use,"Ways to add money,Monthly fees",NA,"Places to get it,Ways to add money,Knowing the balance",NA,Female,"$50,000 or more","CalFresh or SNAP,Medi-Cal,CalWORKS,Housing Assistance Program",NA,NA,Self employed ,1,1,1,1,1,5,FALSE,Yes,No,No,No,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,Yes,No,NA,No,No,Yes,1,No,Yes,No,No,Yes,0
34,Two days a week,Other (please write in),Student ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would like to use,Would not use,Would like to use,Would not use,"Not having wifi access,Monthly fees,Knowing the balance",NA,NA,NA,Female,"Less than $25,000",CalFresh or SNAP,NA,Sales or marketing,NA,1,1,1,0,1,4,FALSE,No,No,No,No,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
35,NA,Other (please write in),Student ID,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From a family member, friend, or other personal acquaintance",NA,Would like to use,Would like to use,Would like to use,Would like to use,Would like to use,"Not having wifi access,Monthly fees",NA,"Places to get it,Monthly fees",NA,Female,"Less than $25,000",CalWORKS,NA,Sales or marketing,NA,1,1,1,1,1,5,FALSE,No,No,No,No,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
36,Four days a week,"Cash,Prepaid card from transit agency",NA,Cash at card kiosks or vending machines in transit stations/at stops,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a government agency,NA,Would not use,Would not use,Would not use,Would like to use,Would not use,NA,NA,"Places to get it,Ways to add money",NA,Female,"Less than $25,000",NA,NA,Unemployed,Retired ,1,1,1,0,0,3,FALSE,Yes,Prepaid card from transit agency,No,No,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
37,Less than once a week,Prepaid card from transit agency,NA,Credit card at card kiosks or vending machines in transit stations/at stops,NA,"Yes, senior citizen discount",NA,Might or might not,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Already use,Already use,Would not use,Would like to use,Would not use,"Not having wifi access,Ways to add money,Monthly fees",NA,NA,NA,Female,"$50,000 or more",NA,NA,Unemployed,Retired ,1,1,1,0,0,3,FALSE,No,Prepaid card from transit agency,No,No,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,NA,No,No,Yes,1,No,No,No,Yes,Yes,0
38,NA,"Cash,Mobile phone (QR Code, digital wallet, mobile ticket, etc.),Contact-less/tap payment with a credit card or prepaid debit card",NA,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a bank branch or website,NA,Would not use,Would not use,Would not use,Would not use,Would not use,Knowing the balance,NA,"Places to get it,Ways to add money",NA,Female,"$50,000 or more",NA,NA,Sales or marketing,NA,1,1,1,1,0,4,FALSE,Yes,No,Mobile phone,Contact-less payment,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Yes,No,NA,No,No,Yes,1,No,NA,No,NA,Yes,1
39,Five days a week,Cash,NA,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,Gov issued card,Not very interested,No,Yes,No,No,Yes,No,No,Yes,No,NA,ID theft ,NA,NA,Would not use,Would not use,Would like to use,Would not use,Would like to use,Other (please write in),Would not use phone ,"Sharing the card with family members,Identity concerns,Other (please write in)",No pay phone ,Female,"Less than $25,000","Medi-Cal,Other (Please write in)",Food stamps,Unemployed,On disability ,1,1,1,1,0,4,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Yes,No,NA,Yes,No,No,1,Yes,No,No,No,NA,0
40,Less than once a week,"Cash,Mobile phone (QR Code, digital wallet, mobile ticket, etc.)",NA,NA,NA,"Yes, another discount (please write in)",State employee ,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would like to use,Would not use,Would like to use,Would like to use,"Not having wifi access,Identity concerns",NA,Identity concerns,NA,Male,"$50,000 or more",NA,NA,Professional or technical,NA,1,1,1,1,0,4,FALSE,Yes,No,Mobile phone,No,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,Yes,NA,No,No,Yes,1,No,No,No,Yes,Yes,0
