University,Country,Domain,City,Ranking,Address,Foundation year,Introduction,Total students,Undergraduate students,Graduate students,International students,Latitude,Longitude,City coordinates
Indian Association for the Cultivation of Science,India,iacs.res.in,,1294,,,,,,,,,,
"Indian Institute of Engineering Science and Technology, Shibpur",India,iiests.ac.in,,2002,,,,,,,,,,
Indian Institute of Management Ahmedabad,India,iima.ac.in,,430,,,,,,,,,,
Indian Institute of Management Calcutta,India,iimcal.ac.in,Calcutta,1702,,,,,,,,22.569722,88.369722,"[22.5697220, 88.3697220]"
Indian Institute of Science,India,iisc.ac.in,,485,C V Raman Avenue,1909.0,"The Indian Institute of Science is primarily a post graduate institution offering Ph.D. programmes in science as well as engineering, and masters programmes in engineering. Since 2011, the Institute has an undergraduate programme offering specialization in one of the following six streams: Biology, Chemistry, Environment, Materials, Mathematics, and Physics.",4128.0,,,1.0%,,,
"Indian Institute of Science Education and Research, Bhopal",India,iiserb.ac.in,Bhopal,1931,,,,,,,,23.266667,77.4,"[23.2666670, 77.4000000]"
"Indian Institute of Science Education and Research, Kolkata",India,iiserkol.ac.in,Haringhata,1238,"Haringhata, Mohanpur (Transient), West Bengal, India",2006.0,,,,,,22.95,88.566667,"[22.9500000, 88.5666670]"
"Indian Institute of Science Education and Research, Mohali",India,iisermohali.ac.in,,1953,,,,,,,,,,
"Indian Institute of Science Education and Research, Pune",India,iiserpune.ac.in,Pune,1197,,,,,,,,18.533333,73.866667,"[18.5333330, 73.8666670]"
"Indian Institute of Science Education and Research, Thiruvananthapuram",India,iisertvm.ac.in,Thiruvananthapuram,2012,,,,,,,,8.506944,76.956944,"[8.5069440, 76.9569440]"
Indian Institute of Technology (BHU) Varanasi,India,iitbhu.ac.in,Varanasi,1608,,,,,,,,25.333333,83.0,"[25.3333330, 83.0000000]"
Indian Institute of Technology Bhubaneswar,India,iitbbs.ac.in,Bhubaneswar,1635,,,,,,,,20.233333,85.833333,"[20.2333330, 85.8333330]"
Indian Institute of Technology Bombay,India,iitb.ac.in,Bombay,580,,,,,,,,18.975,72.825833,"[18.9750000, 72.8258330]"
Indian Institute of Technology Delhi,India,iitd.ac.in,New Delhi,700,"Indian Institute of Technology,  Delhi, Hauz Khas, New Delhi 110016, India",1961.0,,7284.0,,,1.0%,28.6,77.2,"[28.6000000, 77.2000000]"
Indian Institute of Technology Gandhinagar,India,iitgn.ac.in,Gandhinagar,1735,,,,,,,,23.216667,72.683333,"[23.2166670, 72.6833330]"
Indian Institute of Technology Guwahati,India,iitg.ac.in,Guwahati,1007,,,,,,,,26.183333,91.733333,"[26.1833330, 91.7333330]"
Indian Institute of Technology Hyderabad,India,iith.ac.in,Hyderabad,1488,,,,,,,,17.375278,78.474444,"[17.3752780, 78.4744440]"
"Indian Institute of Technology (Indian School of Mines), Dhanbad",India,iitism.ac.in,Dhanbad,1455,,,,,,,,23.8,86.45,"[23.8000000, 86.4500000]"
Indian Institute of Technology Indore,India,iiti.ac.in,Indore,1480,,,,,,,,22.716667,75.833333,"[22.7166670, 75.8333330]"
Indian Institute of Technology Kanpur,India,iitk.ac.in,Kanpur,877,,,,,,,,26.466667,80.35,"[26.4666670, 80.3500000]"
Indian Institute of Technology Kharagpur,India,iitkgp.ac.in,Kharagpur,781,IIT,1951.0,"Brief Overview ofthe Institute
IIT Kharagpur started on August 1951 in the historic building ofthe Hijli Detention Camp.
Over the years, just as thenumber of IITs has increased from one to fifteen, this mother IIT has alsoevolved.
Today IIT-KGP has over close to faculty, more than 10000 students and about 15000 campus inhabitants. 19 departments and 17 schools and centers. Campus area 2100 acres. Also two extension centres at Kolkata and Bhubaneswar.
Average number of graduates 1000, Post graduates 1300, Doctorates - above 200 each year",9167.0,,,0.0%,22.333333,87.333333,"[22.3333330, 87.3333330]"
"Institute of Chemical Technology, Mumbai",India,ictmumbai.edu.in,,1847,,,,,,,,,,
Jadavpur University,India,jaduniv.edu.in,,1137,,,,,,,,,,
Jamia Millia Islamia,India,jmi.ac.in,,1717,,,,,,,,,,
Jawaharlal Nehru Centre for Advanced Scientific Research,India,jncasr.ac.in,,974,,,,,,,,,,
Jawaharlal Nehru University,India,jnu.ac.in,New Delhi,824,"New Delhi, Delhi, India",1969.0,,7938.0,,,4.0%,28.6,77.2,"[28.6000000, 77.2000000]"
Manipal Academy of Higher Education,India,manipal.edu,,1391,,,,,,,,,,
National Institute of Mental Health and Neurosciences,India,nimhans.ac.in,,2033,,,,,,,,,,
"National Institute of Technology, Rourkela",India,nitrkl.ac.in,,1485,,,,,,,,,,
"National Institute of Technology, Tiruchirappalli",India,nitt.edu,,1588,,,,,,,,,,
Panjab University,India,puchd.ac.in,,770,,,,,,,,,,
Postgraduate Institute of Medical Education and Research,India,pgimer.edu.in,,1186,,,,,,,,,,
Punjab Agricultural University,India,pau.edu,,1905,,,,,,,,,,
Rajiv Gandhi University of Health Sciences,India,rguhs.ac.in,,1949,,,,,,,,,,
Sanjay Gandhi Postgraduate Institute of Medical Sciences,India,sgpgi.ac.in,,1858,,,,,,,,,,
SASTRA,India,sastra.edu,,1967,,,,,,,,,,
Savitribai Phule Pune University,India,unipune.ac.in,Pune,1490,,,,,,,,18.533333,73.866667,"[18.5333330, 73.8666670]"
SRM Institute of Science and Technology,India,srmist.edu.in,,1596,,,,,,,,,,
Tamil Nadu Dr. M.G.R. Medical University,India,tnmgrmu.ac.in,,1613,,,,,,,,,,
Tezpur University,India,tezu.ernet.in,Tezpur,1994,,,,,,,,26.633333,92.8,"[26.6333330, 92.8000000]"
Thapar Institute of Engineering and Technology,India,thapar.edu,,1457,,,,,,,,,,
Tata Institute of Fundamental Research,India,tifr.res.in,,577,,,,,,,,,,
University of Calcutta,India,caluniv.ac.in,Calcutta,948,"Kalikata Viswavidyalaya, Senate House,  87/1 College Street, Kolkata,  West Bengal 700073, India",1857.0,,,,,,22.569722,88.369722,"[22.5697220, 88.3697220]"
University of Delhi,India,du.ac.in,New Delhi,692,"New Delhi, India",1922.0,,24547.0,,,1.0%,28.6,77.2,"[28.6000000, 77.2000000]"
University of Hyderabad,India,uohyd.ac.in,Hyderabad,1321,,,,,,,,17.375278,78.474444,"[17.3752780, 78.4744440]"
University of Jammu,India,jammuuniversity.in,Jammu,1796,,,,,,,,32.733333,74.866667,"[32.7333330, 74.8666670]"
University of Madras,India,unom.ac.in,Madras,1928,,,,,,,,13.083333,80.283333,"[13.0833330, 80.2833330]"
University of Rajasthan,India,uniraj.ac.in,,1854,,,,,,,,,,
Vellore Institute of Technology,India,vit.ac.in,,1147,"Vellore, Tamil Nadu, India",1984.0,,11152.0,7958.0,3194.0,954(8.6%),,,
Visva-Bharati University,India,visvabharati.ac.in,,1222,,,,,,,,,,
XLRI - Xavier School of Management,India,xlri.ac.in,,1438,,,,,,,,,,
