variable,mid,low,high,value,count
SPARCS,0.7885,0.735,0.842,18,2
SPARCS,0.7885,0.735,0.842,19,2
SPARCS,0.7885,0.735,0.842,20,1
SPARCS,0.7885,0.735,0.842,21,2
SPARCS,0.7885,0.735,0.842,22,4
SPARCS,0.7885,0.735,0.842,23,2
SPARCS,0.7885,0.735,0.842,24,2
SPARCS,0.7885,0.735,0.842,27,1
SPARCS,0.7885,0.735,0.842,31,1
SPARCS,0.7885,0.735,0.842,32,1
SPARCS,0.7885,0.735,0.842,36,1
SPARCS,0.7885,0.735,0.842,37,1
SPARCS,0.7885,0.735,0.842,41,1
SPARCS,0.7885,0.735,0.842,42,1
SPARCS,0.7885,0.735,0.842,45,2
SPARCS,0.7885,0.735,0.842,46,1
SPARCS,0.7885,0.735,0.842,47,3
SPARCS,0.7885,0.735,0.842,49,1
SPARCS,0.7885,0.735,0.842,50,1
SPARCS,0.7885,0.735,0.842,51,2
SPARCS,0.7885,0.735,0.842,52,1
SPARCS,0.7885,0.735,0.842,53,2
SPARCS,0.7885,0.735,0.842,54,1
SPARCS,0.7885,0.735,0.842,55,2
SPARCS,0.7885,0.735,0.842,60,1
SPARCS,0.7885,0.735,0.842,62,2
SPARCS,0.7885,0.735,0.842,64,1
SPARCS,0.7885,0.735,0.842,76,1
SPARCS,0.7885,0.735,0.842,79,1
SPARCS,0.7885,0.735,0.842,81,1
SPARCS,0.7885,0.735,0.842,91,1
SPARCS,0.7885,0.735,0.842,104,1
SPARCS,0.7885,0.735,0.842,111,2
SPARCS,0.7885,0.735,0.842,125,1
SPARCS,0.7885,0.735,0.842,,0
SPARCS,0.903,0.842,0.964,3,1
SPARCS,0.903,0.842,0.964,11,1
SPARCS,0.903,0.842,0.964,13,1
SPARCS,0.903,0.842,0.964,14,1
SPARCS,0.903,0.842,0.964,17,2
SPARCS,0.903,0.842,0.964,18,1
SPARCS,0.903,0.842,0.964,20,1
SPARCS,0.903,0.842,0.964,21,1
SPARCS,0.903,0.842,0.964,23,2
SPARCS,0.903,0.842,0.964,24,1
SPARCS,0.903,0.842,0.964,25,1
SPARCS,0.903,0.842,0.964,26,1
SPARCS,0.903,0.842,0.964,27,1
SPARCS,0.903,0.842,0.964,29,1
SPARCS,0.903,0.842,0.964,32,1
SPARCS,0.903,0.842,0.964,33,1
SPARCS,0.903,0.842,0.964,35,2
SPARCS,0.903,0.842,0.964,36,1
SPARCS,0.903,0.842,0.964,39,1
SPARCS,0.903,0.842,0.964,42,1
SPARCS,0.903,0.842,0.964,43,1
SPARCS,0.903,0.842,0.964,44,3
SPARCS,0.903,0.842,0.964,45,2
SPARCS,0.903,0.842,0.964,46,1
SPARCS,0.903,0.842,0.964,47,2
SPARCS,0.903,0.842,0.964,51,1
SPARCS,0.903,0.842,0.964,52,2
SPARCS,0.903,0.842,0.964,53,1
SPARCS,0.903,0.842,0.964,56,1
SPARCS,0.903,0.842,0.964,57,2
SPARCS,0.903,0.842,0.964,60,2
SPARCS,0.903,0.842,0.964,66,2
SPARCS,0.903,0.842,0.964,68,1
SPARCS,0.903,0.842,0.964,71,1
SPARCS,0.903,0.842,0.964,74,1
SPARCS,0.903,0.842,0.964,76,2
SPARCS,0.903,0.842,0.964,85,1
SPARCS,0.903,0.842,0.964,87,1
SPARCS,0.903,0.842,0.964,90,1
SPARCS,0.903,0.842,0.964,94,1
SPARCS,0.903,0.842,0.964,111,2
SPARCS,0.903,0.842,0.964,114,1
SPARCS,0.903,0.842,0.964,130,1
SPARCS,0.903,0.842,0.964,141,1
SPARCS,0.903,0.842,0.964,,0
SPARCS,1.017,0.964,1.07,15,1
SPARCS,1.017,0.964,1.07,17,1
SPARCS,1.017,0.964,1.07,18,2
SPARCS,1.017,0.964,1.07,19,1
SPARCS,1.017,0.964,1.07,22,1
SPARCS,1.017,0.964,1.07,23,1
SPARCS,1.017,0.964,1.07,26,1
SPARCS,1.017,0.964,1.07,31,1
SPARCS,1.017,0.964,1.07,32,1
SPARCS,1.017,0.964,1.07,36,2
SPARCS,1.017,0.964,1.07,37,1
SPARCS,1.017,0.964,1.07,38,2
SPARCS,1.017,0.964,1.07,39,1
SPARCS,1.017,0.964,1.07,44,1
SPARCS,1.017,0.964,1.07,46,2
SPARCS,1.017,0.964,1.07,48,2
SPARCS,1.017,0.964,1.07,49,1
SPARCS,1.017,0.964,1.07,50,2
SPARCS,1.017,0.964,1.07,51,1
SPARCS,1.017,0.964,1.07,52,2
SPARCS,1.017,0.964,1.07,53,3
SPARCS,1.017,0.964,1.07,54,1
SPARCS,1.017,0.964,1.07,55,2
SPARCS,1.017,0.964,1.07,56,1
SPARCS,1.017,0.964,1.07,57,1
SPARCS,1.017,0.964,1.07,58,1
SPARCS,1.017,0.964,1.07,60,1
SPARCS,1.017,0.964,1.07,61,3
SPARCS,1.017,0.964,1.07,62,2
SPARCS,1.017,0.964,1.07,64,2
SPARCS,1.017,0.964,1.07,80,1
SPARCS,1.017,0.964,1.07,81,1
SPARCS,1.017,0.964,1.07,84,1
SPARCS,1.017,0.964,1.07,91,1
SPARCS,1.017,0.964,1.07,100,1
SPARCS,1.017,0.964,1.07,101,1
SPARCS,1.017,0.964,1.07,106,1
SPARCS,1.017,0.964,1.07,109,1
SPARCS,1.017,0.964,1.07,111,2
SPARCS,1.017,0.964,1.07,124,1
SPARCS,1.017,0.964,1.07,128,1
SPARCS,1.017,0.964,1.07,131,2
SPARCS,1.017,0.964,1.07,,0
SPARCS,1.135,1.07,1.2,1,1
SPARCS,1.135,1.07,1.2,16,2
SPARCS,1.135,1.07,1.2,17,1
SPARCS,1.135,1.07,1.2,20,1
SPARCS,1.135,1.07,1.2,22,1
SPARCS,1.135,1.07,1.2,25,2
SPARCS,1.135,1.07,1.2,26,2
SPARCS,1.135,1.07,1.2,29,2
SPARCS,1.135,1.07,1.2,30,1
SPARCS,1.135,1.07,1.2,32,1
SPARCS,1.135,1.07,1.2,33,1
SPARCS,1.135,1.07,1.2,34,1
SPARCS,1.135,1.07,1.2,36,1
SPARCS,1.135,1.07,1.2,38,3
SPARCS,1.135,1.07,1.2,40,1
SPARCS,1.135,1.07,1.2,43,2
SPARCS,1.135,1.07,1.2,45,1
SPARCS,1.135,1.07,1.2,46,1
SPARCS,1.135,1.07,1.2,47,1
SPARCS,1.135,1.07,1.2,49,1
SPARCS,1.135,1.07,1.2,50,1
SPARCS,1.135,1.07,1.2,51,1
SPARCS,1.135,1.07,1.2,52,1
SPARCS,1.135,1.07,1.2,54,2
SPARCS,1.135,1.07,1.2,57,2
SPARCS,1.135,1.07,1.2,59,1
SPARCS,1.135,1.07,1.2,62,1
SPARCS,1.135,1.07,1.2,65,1
SPARCS,1.135,1.07,1.2,67,1
SPARCS,1.135,1.07,1.2,74,2
SPARCS,1.135,1.07,1.2,77,1
SPARCS,1.135,1.07,1.2,78,1
SPARCS,1.135,1.07,1.2,86,1
SPARCS,1.135,1.07,1.2,94,1
SPARCS,1.135,1.07,1.2,99,2
SPARCS,1.135,1.07,1.2,100,1
SPARCS,1.135,1.07,1.2,102,1
SPARCS,1.135,1.07,1.2,103,1
SPARCS,1.135,1.07,1.2,104,1
SPARCS,1.135,1.07,1.2,107,1
SPARCS,1.135,1.07,1.2,112,1
SPARCS,1.135,1.07,1.2,114,1
SPARCS,1.135,1.07,1.2,117,1
SPARCS,1.135,1.07,1.2,126,2
SPARCS,1.135,1.07,1.2,127,1
SPARCS,1.135,1.07,1.2,136,1
SPARCS,1.135,1.07,1.2,162,1
SPARCS,1.255,1.2,1.31,0,1
SPARCS,1.255,1.2,1.31,16,1
SPARCS,1.255,1.2,1.31,17,2
SPARCS,1.255,1.2,1.31,20,2
SPARCS,1.255,1.2,1.31,21,1
SPARCS,1.255,1.2,1.31,23,1
SPARCS,1.255,1.2,1.31,24,1
SPARCS,1.255,1.2,1.31,25,1
SPARCS,1.255,1.2,1.31,27,1
SPARCS,1.255,1.2,1.31,28,2
SPARCS,1.255,1.2,1.31,31,1
SPARCS,1.255,1.2,1.31,32,1
SPARCS,1.255,1.2,1.31,33,1
SPARCS,1.255,1.2,1.31,35,1
SPARCS,1.255,1.2,1.31,37,1
SPARCS,1.255,1.2,1.31,39,1
SPARCS,1.255,1.2,1.31,40,2
SPARCS,1.255,1.2,1.31,41,2
SPARCS,1.255,1.2,1.31,43,1
SPARCS,1.255,1.2,1.31,44,1
SPARCS,1.255,1.2,1.31,46,1
SPARCS,1.255,1.2,1.31,47,2
SPARCS,1.255,1.2,1.31,49,3
SPARCS,1.255,1.2,1.31,50,2
SPARCS,1.255,1.2,1.31,51,2
SPARCS,1.255,1.2,1.31,52,1
SPARCS,1.255,1.2,1.31,53,1
SPARCS,1.255,1.2,1.31,56,4
SPARCS,1.255,1.2,1.31,57,1
SPARCS,1.255,1.2,1.31,61,1
SPARCS,1.255,1.2,1.31,64,1
SPARCS,1.255,1.2,1.31,65,1
SPARCS,1.255,1.2,1.31,81,1
SPARCS,1.255,1.2,1.31,91,1
SPARCS,1.255,1.2,1.31,98,1
SPARCS,1.255,1.2,1.31,104,1
SPARCS,1.255,1.2,1.31,105,1
SPARCS,1.255,1.2,1.31,107,1
SPARCS,1.255,1.2,1.31,108,1
SPARCS,1.255,1.2,1.31,110,1
SPARCS,1.255,1.2,1.31,117,2
SPARCS,1.255,1.2,1.31,131,1
SPARCS,1.255,1.2,1.31,,0
SPARCS,1.38,1.31,1.45,16,1
SPARCS,1.38,1.31,1.45,17,2
SPARCS,1.38,1.31,1.45,18,1
SPARCS,1.38,1.31,1.45,20,1
SPARCS,1.38,1.31,1.45,21,1
SPARCS,1.38,1.31,1.45,22,1
SPARCS,1.38,1.31,1.45,26,1
SPARCS,1.38,1.31,1.45,29,1
SPARCS,1.38,1.31,1.45,31,1
SPARCS,1.38,1.31,1.45,38,1
SPARCS,1.38,1.31,1.45,40,1
SPARCS,1.38,1.31,1.45,42,1
SPARCS,1.38,1.31,1.45,43,1
SPARCS,1.38,1.31,1.45,44,1
SPARCS,1.38,1.31,1.45,45,3
SPARCS,1.38,1.31,1.45,46,3
SPARCS,1.38,1.31,1.45,47,1
SPARCS,1.38,1.31,1.45,48,1
SPARCS,1.38,1.31,1.45,49,2
SPARCS,1.38,1.31,1.45,52,2
SPARCS,1.38,1.31,1.45,53,1
SPARCS,1.38,1.31,1.45,55,1
SPARCS,1.38,1.31,1.45,57,1
SPARCS,1.38,1.31,1.45,58,2
SPARCS,1.38,1.31,1.45,59,1
SPARCS,1.38,1.31,1.45,61,1
SPARCS,1.38,1.31,1.45,64,1
SPARCS,1.38,1.31,1.45,74,1
SPARCS,1.38,1.31,1.45,78,1
SPARCS,1.38,1.31,1.45,80,1
SPARCS,1.38,1.31,1.45,82,1
SPARCS,1.38,1.31,1.45,83,1
SPARCS,1.38,1.31,1.45,90,1
SPARCS,1.38,1.31,1.45,96,2
SPARCS,1.38,1.31,1.45,104,2
SPARCS,1.38,1.31,1.45,107,1
SPARCS,1.38,1.31,1.45,109,1
SPARCS,1.38,1.31,1.45,111,1
SPARCS,1.38,1.31,1.45,112,1
SPARCS,1.38,1.31,1.45,114,1
SPARCS,1.38,1.31,1.45,117,1
SPARCS,1.38,1.31,1.45,123,1
SPARCS,1.38,1.31,1.45,132,2
SPARCS,1.38,1.31,1.45,137,1
SPARCS,1.38,1.31,1.45,,0
SPARCS,1.505,1.45,1.56,1,1
SPARCS,1.505,1.45,1.56,12,1
SPARCS,1.505,1.45,1.56,15,2
SPARCS,1.505,1.45,1.56,18,1
SPARCS,1.505,1.45,1.56,19,1
SPARCS,1.505,1.45,1.56,21,2
SPARCS,1.505,1.45,1.56,22,3
SPARCS,1.505,1.45,1.56,23,1
SPARCS,1.505,1.45,1.56,24,1
SPARCS,1.505,1.45,1.56,25,1
SPARCS,1.505,1.45,1.56,26,1
SPARCS,1.505,1.45,1.56,27,1
SPARCS,1.505,1.45,1.56,33,1
SPARCS,1.505,1.45,1.56,34,2
SPARCS,1.505,1.45,1.56,37,2
SPARCS,1.505,1.45,1.56,40,2
SPARCS,1.505,1.45,1.56,42,2
SPARCS,1.505,1.45,1.56,45,1
SPARCS,1.505,1.45,1.56,46,2
SPARCS,1.505,1.45,1.56,47,1
SPARCS,1.505,1.45,1.56,49,2
SPARCS,1.505,1.45,1.56,50,3
SPARCS,1.505,1.45,1.56,51,2
SPARCS,1.505,1.45,1.56,53,1
SPARCS,1.505,1.45,1.56,55,2
SPARCS,1.505,1.45,1.56,57,1
SPARCS,1.505,1.45,1.56,61,1
SPARCS,1.505,1.45,1.56,62,2
SPARCS,1.505,1.45,1.56,64,1
SPARCS,1.505,1.45,1.56,70,1
SPARCS,1.505,1.45,1.56,78,1
SPARCS,1.505,1.45,1.56,79,2
SPARCS,1.505,1.45,1.56,80,2
SPARCS,1.505,1.45,1.56,106,1
SPARCS,1.505,1.45,1.56,108,1
SPARCS,1.505,1.45,1.56,111,1
SPARCS,1.505,1.45,1.56,114,1
SPARCS,1.505,1.45,1.56,123,2
SPARCS,1.505,1.45,1.56,125,1
