variable,mid,low,high,value,count
SPARCS,2.465,2.39,2.54,0,6
SPARCS,2.465,2.39,2.54,1,10
SPARCS,2.465,2.39,2.54,2,12
SPARCS,2.465,2.39,2.54,3,8
SPARCS,2.465,2.39,2.54,4,7
SPARCS,2.465,2.39,2.54,5,1
SPARCS,2.465,2.39,2.54,7,1
SPARCS,2.465,2.39,2.54,,0
SPARCS,2.605,2.54,2.67,0,10
SPARCS,2.605,2.54,2.67,1,13
SPARCS,2.605,2.54,2.67,2,10
SPARCS,2.605,2.54,2.67,3,5
SPARCS,2.605,2.54,2.67,4,3
SPARCS,2.605,2.54,2.67,5,2
SPARCS,2.605,2.54,2.67,6,2
SPARCS,2.605,2.54,2.67,7,1
SPARCS,2.605,2.54,2.67,8,1
SPARCS,2.605,2.54,2.67,,0
SPARCS,2.74,2.67,2.81,0,9
SPARCS,2.74,2.67,2.81,1,6
SPARCS,2.74,2.67,2.81,2,8
SPARCS,2.74,2.67,2.81,3,6
SPARCS,2.74,2.67,2.81,4,6
SPARCS,2.74,2.67,2.81,5,3
SPARCS,2.74,2.67,2.81,6,3
SPARCS,2.74,2.67,2.81,,0
SPARCS,2.875,2.81,2.94,0,8
SPARCS,2.875,2.81,2.94,1,9
SPARCS,2.875,2.81,2.94,2,8
SPARCS,2.875,2.81,2.94,3,6
SPARCS,2.875,2.81,2.94,4,5
SPARCS,2.875,2.81,2.94,5,4
SPARCS,2.875,2.81,2.94,6,2
SPARCS,2.875,2.81,2.94,8,1
SPARCS,2.875,2.81,2.94,,0
SPARCS,3.025,2.94,3.11,0,13
SPARCS,3.025,2.94,3.11,1,7
SPARCS,3.025,2.94,3.11,2,10
SPARCS,3.025,2.94,3.11,3,5
SPARCS,3.025,2.94,3.11,4,5
SPARCS,3.025,2.94,3.11,5,1
SPARCS,3.025,2.94,3.11,6,1
SPARCS,3.025,2.94,3.11,7,1
SPARCS,3.025,2.94,3.11,9,1
SPARCS,3.025,2.94,3.11,,0
SPARCS,3.2,3.11,3.29,0,7
SPARCS,3.2,3.11,3.29,1,11
SPARCS,3.2,3.11,3.29,2,4
SPARCS,3.2,3.11,3.29,3,7
SPARCS,3.2,3.11,3.29,4,3
SPARCS,3.2,3.11,3.29,5,4
SPARCS,3.2,3.11,3.29,6,1
SPARCS,3.2,3.11,3.29,10,2
SPARCS,3.2,3.11,3.29,,0
SPARCS,3.355,3.29,3.42,0,12
SPARCS,3.355,3.29,3.42,1,6
SPARCS,3.355,3.29,3.42,2,7
SPARCS,3.355,3.29,3.42,3,9
SPARCS,3.355,3.29,3.42,4,6
SPARCS,3.355,3.29,3.42,5,1
SPARCS,3.355,3.29,3.42,6,1
SPARCS,3.355,3.29,3.42,7,2
SPARCS,3.355,3.29,3.42,,0
SPARCS,3.525,3.42,3.63,0,8
SPARCS,3.525,3.42,3.63,1,7
SPARCS,3.525,3.42,3.63,2,6
SPARCS,3.525,3.42,3.63,3,8
SPARCS,3.525,3.42,3.63,4,4
SPARCS,3.525,3.42,3.63,5,1
SPARCS,3.525,3.42,3.63,6,1
SPARCS,3.525,3.42,3.63,8,1
SPARCS,3.525,3.42,3.63,11,1
SPARCS,3.525,3.42,3.63,,0
SPARCS,3.715,3.63,3.8,0,3
SPARCS,3.715,3.63,3.8,1,3
SPARCS,3.715,3.63,3.8,2,8
SPARCS,3.715,3.63,3.8,3,5
SPARCS,3.715,3.63,3.8,4,4
SPARCS,3.715,3.63,3.8,5,2
SPARCS,3.715,3.63,3.8,6,3
SPARCS,3.715,3.63,3.8,7,1
SPARCS,3.715,3.63,3.8,8,1
SPARCS,3.715,3.63,3.8,10,1
SPARCS,3.715,3.63,3.8,15,1
SPARCS,3.715,3.63,3.8,,0
SPARCS,3.915,3.8,4.03,0,10
SPARCS,3.915,3.8,4.03,1,8
SPARCS,3.915,3.8,4.03,2,4
SPARCS,3.915,3.8,4.03,3,4
SPARCS,3.915,3.8,4.03,4,4
SPARCS,3.915,3.8,4.03,5,1
SPARCS,3.915,3.8,4.03,8,1
SPARCS,3.915,3.8,4.03,,0
SPARCS,4.155,4.03,4.28,0,5
SPARCS,4.155,4.03,4.28,1,6
SPARCS,4.155,4.03,4.28,2,8
SPARCS,4.155,4.03,4.28,3,4
SPARCS,4.155,4.03,4.28,4,2
SPARCS,4.155,4.03,4.28,5,2
SPARCS,4.155,4.03,4.28,6,1
SPARCS,4.155,4.03,4.28,7,1
SPARCS,4.155,4.03,4.28,,0
SPARCS,4.4,4.28,4.52,0,9
SPARCS,4.4,4.28,4.52,1,6
SPARCS,4.4,4.28,4.52,2,6
SPARCS,4.4,4.28,4.52,3,2
SPARCS,4.4,4.28,4.52,4,4
SPARCS,4.4,4.28,4.52,5,4
SPARCS,4.4,4.28,4.52,6,1
SPARCS,4.4,4.28,4.52,7,2
SPARCS,4.4,4.28,4.52,8,1
SPARCS,4.4,4.28,4.52,,0
SPARCS,4.645,4.52,4.77,0,8
SPARCS,4.645,4.52,4.77,1,4
SPARCS,4.645,4.52,4.77,2,6
SPARCS,4.645,4.52,4.77,3,5
SPARCS,4.645,4.52,4.77,4,4
SPARCS,4.645,4.52,4.77,5,1
SPARCS,4.645,4.52,4.77,,0
SPARCS,4.895,4.77,5.02,0,8
SPARCS,4.895,4.77,5.02,1,3
SPARCS,4.895,4.77,5.02,2,8
SPARCS,4.895,4.77,5.02,3,2
SPARCS,4.895,4.77,5.02,4,2
SPARCS,4.895,4.77,5.02,5,1
SPARCS,4.895,4.77,5.02,7,2
SPARCS,4.895,4.77,5.02,,0
SPARCS,5.185,5.02,5.35,0,7
SPARCS,5.185,5.02,5.35,1,6
SPARCS,5.185,5.02,5.35,2,4
SPARCS,5.185,5.02,5.35,3,5
SPARCS,5.185,5.02,5.35,4,6
SPARCS,5.185,5.02,5.35,7,1
SPARCS,5.185,5.02,5.35,,0
SPARCS,5.475,5.35,5.6,0,8
SPARCS,5.475,5.35,5.6,1,3
SPARCS,5.475,5.35,5.6,2,4
SPARCS,5.475,5.35,5.6,3,3
SPARCS,5.475,5.35,5.6,4,4
SPARCS,5.475,5.35,5.6,5,5
SPARCS,5.475,5.35,5.6,,0
SPARCS,5.77,5.6,5.94,0,5
SPARCS,5.77,5.6,5.94,1,6
SPARCS,5.77,5.6,5.94,2,3
SPARCS,5.77,5.6,5.94,3,5
SPARCS,5.77,5.6,5.94,4,6
SPARCS,5.77,5.6,5.94,5,3
SPARCS,5.77,5.6,5.94,,0
SPARCS,6.085,5.94,6.23,0,8
SPARCS,6.085,5.94,6.23,1,3
SPARCS,6.085,5.94,6.23,2,4
SPARCS,6.085,5.94,6.23,3,3
SPARCS,6.085,5.94,6.23,4,3
SPARCS,6.085,5.94,6.23,6,2
SPARCS,6.085,5.94,6.23,8,1
SPARCS,6.085,5.94,6.23,,0
SPARCS,6.395,6.23,6.56,0,7
SPARCS,6.395,6.23,6.56,1,4
SPARCS,6.395,6.23,6.56,2,7
SPARCS,6.395,6.23,6.56,3,7
SPARCS,6.395,6.23,6.56,4,2
SPARCS,6.395,6.23,6.56,5,3
SPARCS,6.395,6.23,6.56,6,2
SPARCS,6.395,6.23,6.56,,0
SPARCS,6.755,6.56,6.95,0,4
SPARCS,6.755,6.56,6.95,1,3
SPARCS,6.755,6.56,6.95,2,2
SPARCS,6.755,6.56,6.95,3,3
SPARCS,6.755,6.56,6.95,4,6
SPARCS,6.755,6.56,6.95,5,1
SPARCS,6.755,6.56,6.95,6,3
SPARCS,6.755,6.56,6.95,7,1
SPARCS,6.755,6.56,6.95,,0
SPARCS,7.185,6.95,7.42,0,3
SPARCS,7.185,6.95,7.42,1,4
SPARCS,7.185,6.95,7.42,2,2
SPARCS,7.185,6.95,7.42,3,2
SPARCS,7.185,6.95,7.42,4,5
SPARCS,7.185,6.95,7.42,5,2
SPARCS,7.185,6.95,7.42,,0
SPARCS,7.61,7.42,7.8,0,2
SPARCS,7.61,7.42,7.8,1,2
SPARCS,7.61,7.42,7.8,2,2
SPARCS,7.61,7.42,7.8,3,4
SPARCS,7.61,7.42,7.8,4,4
SPARCS,7.61,7.42,7.8,5,2
SPARCS,7.61,7.42,7.8,,0
SPARCS,8.04,7.8,8.28,0,5
SPARCS,8.04,7.8,8.28,1,5
SPARCS,8.04,7.8,8.28,2,2
SPARCS,8.04,7.8,8.28,3,3
SPARCS,8.04,7.8,8.28,4,3
SPARCS,8.04,7.8,8.28,7,2
SPARCS,8.04,7.8,8.28,8,1
SPARCS,8.04,7.8,8.28,,0
SPARCS,8.64,8.28,9,0,6
SPARCS,8.64,8.28,9,1,3
SPARCS,8.64,8.28,9,2,1
SPARCS,8.64,8.28,9,3,2
SPARCS,8.64,8.28,9,4,2
SPARCS,8.64,8.28,9,5,3
SPARCS,8.64,8.28,9,6,2
SPARCS,8.64,8.28,9,,0
SPARCS,9.55,9,10.1,0,4
SPARCS,9.55,9,10.1,1,1
SPARCS,9.55,9,10.1,2,2
SPARCS,9.55,9,10.1,3,2
SPARCS,9.55,9,10.1,4,2
SPARCS,9.55,9,10.1,5,2
SPARCS,9.55,9,10.1,7,1
SPARCS,9.55,9,10.1,,0
SPARCS,10.95,10.1,11.8,0,5
SPARCS,10.95,10.1,11.8,1,1
SPARCS,10.95,10.1,11.8,2,1
SPARCS,10.95,10.1,11.8,3,5
SPARCS,10.95,10.1,11.8,5,1
SPARCS,10.95,10.1,11.8,9,1
SPARCS,10.95,10.1,11.8,,0
SPARCS,30.65,11.8,49.5,0,3
SPARCS,30.65,11.8,49.5,1,1
SPARCS,30.65,11.8,49.5,2,2
SPARCS,30.65,11.8,49.5,3,2
SPARCS,30.65,11.8,49.5,4,1
SPARCS,30.65,11.8,49.5,,0
SPARCS,,,,0,3
SPARCS,,,,1,8
SPARCS,,,,2,5
SPARCS,,,,3,6
SPARCS,,,,4,2
SPARCS,,,,5,4
SPARCS,,,,6,3
SPARCS,,,,,0
